stock,top5_buyers,top5_sellers,net_volume,daily_summary
ANTM,"1. N/A: 289,939 lot (108.50B) [Mix]
2. N/A: 137,590 lot (51.91B) [Bandar]
3. N/A: 133,940 lot (49.96B) [Mix]
4. N/A: 79,263 lot (29.95B) [Bandar]
5. N/A: 57,833 lot (21.48B) [Bandar]","1. N/A: 222,680 lot (82.66B) [Bandar]
2. N/A: 134,854 lot (50.81B) [Bandar]
3. N/A: 111,396 lot (41.45B) [Bandar]
4. N/A: 100,435 lot (37.56B) [Bandar]
5. N/A: 89,384 lot (33.36B) [Retail]",39816,"Buyer: Mix 61%, Seller: Bandar 86%"
BBTN,"1. N/A: 30,000 lot (3.63B) [Bandar]
2. N/A: 26,219 lot (3.20B) [Mix]
3. N/A: 18,796 lot (2.29B) [Bandar]
4. N/A: 15,760 lot (1.92B) [Bandar]
5. N/A: 14,250 lot (1.75B) [Retail]","1. N/A: 76,716 lot (9.40B) [Bandar]
2. N/A: 46,066 lot (5.63B) [Mix]
3. N/A: 36,836 lot (4.46B) [Bandar]
4. N/A: 9,290 lot (1.13B) [Mix]
5. N/A: 4,629 lot (565.66M) [Bandar]",-68512,"Buyer: Bandar 61%, Seller: Bandar 68%"
BIPI,"1. N/A: 660,000 lot (11.02B) [Mix]
2. N/A: 85,229 lot (1.46B) [Mix]
3. N/A: 54,031 lot (940.14M) [Mix]
4. N/A: 41,653 lot (699.77M) [Retail]
5. N/A: 39,612 lot (689.25M) [Mix]","1. N/A: 184,521 lot (3.10B) [Mix]
2. N/A: 163,368 lot (2.76B) [Retail]
3. N/A: 96,871 lot (1.66B) [Bandar]
4. N/A: 95,362 lot (1.64B) [Bandar]
5. N/A: 81,567 lot (1.36B) [Retail]",258836,"Buyer: Mix 95%, Seller: Retail 39%"
HMSP,"1. N/A: 46,351 lot (3.72B) [Bandar]
2. N/A: 41,416 lot (3.34B) [Mix]
3. N/A: 41,129 lot (3.30B) [Bandar]
4. N/A: 35,155 lot (2.81B) [Bandar]
5. N/A: 27,679 lot (2.23B) [Retail]","1. N/A: 67,671 lot (5.41B) [Mix]
2. N/A: 62,473 lot (5.03B) [Mix]
3. N/A: 58,830 lot (4.71B) [Bandar]
4. N/A: 19,551 lot (1.58B) [Bandar]
5. N/A: 17,013 lot (1.37B) [Bandar]",-33808,"Buyer: Bandar 64%, Seller: Mix 58%"
INCO,"1. N/A: 38,013 lot (21.82B) [Bandar]
2. N/A: 34,909 lot (20.24B) [Retail]
3. N/A: 28,530 lot (16.31B) [Bandar]
4. N/A: 24,995 lot (14.42B) [Bandar]
5. N/A: 8,365 lot (4.81B) [Mix]","1. N/A: 57,084 lot (32.12B) [Mix]
2. N/A: 27,579 lot (15.78B) [Retail]
3. N/A: 20,757 lot (11.99B) [Bandar]
4. N/A: 9,012 lot (5.16B) [Mix]
5. N/A: 7,719 lot (4.48B) [Bandar]",12661,"Buyer: Bandar 68%, Seller: Mix 54%"
INDY,"1. N/A: 126,220 lot (36.09B) [Bandar]
2. N/A: 34,314 lot (9.78B) [Mix]
3. N/A: 26,969 lot (7.99B) [Bandar]
4. N/A: 26,417 lot (7.73B) [Bandar]
5. N/A: 20,096 lot (5.70B) [Bandar]","1. N/A: 63,361 lot (18.28B) [Mix]
2. N/A: 35,292 lot (10.20B) [Retail]
3. N/A: 22,597 lot (6.51B) [Bandar]
4. N/A: 22,030 lot (6.26B) [Bandar]
5. N/A: 20,306 lot (5.78B) [Mix]",70430,"Buyer: Bandar 85%, Seller: Mix 51%"
ITMA,"1. N/A: 20,345 lot (3.83B) [Mix]
2. N/A: 10,000 lot (1.86B) [Mix]
3. N/A: 5,806 lot (1.11B) [Bandar]
4. N/A: 633 lot (118.12M) [Mix]
5. N/A: 317 lot (59.22M) [Retail]","1. N/A: 12,771 lot (2.44B) [Bandar]
2. N/A: 11,322 lot (2.12B) [Bandar]
3. N/A: 5,146 lot (955.61M) [Bandar]
4. N/A: 5,000 lot (934.50M) [Bandar]
5. N/A: 2,156 lot (419.13M) [Bandar]",706,"Buyer: Mix 83%, Seller: Bandar 100%"
JSMR,"1. N/A: 36,525 lot (13.13B) [Mix]
2. N/A: 12,919 lot (4.65B) [Mix]
3. N/A: 4,095 lot (1.47B) [Bandar]
4. N/A: 3,425 lot (1.23B) [Bandar]
5. N/A: 2,805 lot (1.01B) [Bandar]","1. N/A: 18,844 lot (6.78B) [Bandar]
2. N/A: 16,967 lot (6.09B) [Mix]
3. N/A: 8,490 lot (3.05B) [Bandar]
4. N/A: 4,032 lot (1.45B) [Bandar]
5. N/A: 2,913 lot (1.05B) [Retail]",8523,"Buyer: Mix 83%, Seller: Bandar 61%"
LPCK,"1. N/A: 4,800 lot (389.28M) [Bandar]
2. N/A: 3,236 lot (265.35M) [Bandar]
3. N/A: 3,058 lot (246.17M) [Bandar]
4. N/A: 3,026 lot (239.66M) [Mix]
5. N/A: 2,109 lot (170.41M) [Bandar]","1. N/A: 7,143 lot (570.73M) [Bandar]
2. N/A: 3,454 lot (283.57M) [Retail]
3. N/A: 2,990 lot (238.30M) [Bandar]
4. N/A: 2,638 lot (215.26M) [Mix]
5. N/A: 1,757 lot (138.45M) [Retail]",-1753,"Buyer: Bandar 81%, Seller: Bandar 56%"
LPPF,"1. N/A: 8,504 lot (1.57B) [Retail]
2. N/A: 2,411 lot (443.62M) [Retail]
3. N/A: 1,747 lot (321.80M) [Bandar]
4. N/A: 1,260 lot (232.72M) [Mix]
5. N/A: 1,253 lot (230.68M) [Bandar]","1. N/A: 5,925 lot (1.09B) [Bandar]
2. N/A: 4,450 lot (824.14M) [Mix]
3. N/A: 1,655 lot (305.51M) [Bandar]
4. N/A: 1,497 lot (276.80M) [Bandar]
5. N/A: 1,457 lot (268.38M) [Mix]",191,"Buyer: Retail 72%, Seller: Bandar 61%"
PANS,"1. N/A: 799 lot (120.65M) [Bandar]
2. N/A: 166 lot (25.15M) [Mix]
3. N/A: 100 lot (15.30M) [Mix]","1. N/A: 598 lot (90.30M) [Bandar]
2. N/A: 186 lot (28.16M) [Retail]
3. N/A: 156 lot (23.73M) [Bandar]
4. N/A: 105 lot (16.12M) [Mix]
5. N/A: 66 lot (9.97M) [Bandar]",-46,"Buyer: Bandar 75%, Seller: Bandar 74%"
SCCO,"1. N/A: 224 lot (55.55M) [Bandar]
2. N/A: 10 lot (2.47M) [Bandar]","1. N/A: 100 lot (24.50M) [Retail]
2. N/A: 43 lot (10.47M) [Mix]
3. N/A: 25 lot (6.35M) [Bandar]",66,"Buyer: Bandar 100%, Seller: Retail 60%"
WIIM,"1. N/A: 22,284 lot (3.90B) [Bandar]
2. N/A: 8,558 lot (1.48B) [Retail]
3. N/A: 8,151 lot (1.42B) [Mix]
4. N/A: 6,487 lot (1.13B) [Bandar]
5. N/A: 6,120 lot (1.05B) [Bandar]","1. N/A: 16,621 lot (2.84B) [Mix]
2. N/A: 14,041 lot (2.46B) [Bandar]
3. N/A: 9,959 lot (1.75B) [Bandar]
4. N/A: 6,956 lot (1.21B) [Bandar]
5. N/A: 5,852 lot (1.02B) [Bandar]",-1829,"Buyer: Bandar 68%, Seller: Bandar 69%"
